instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group,best_ert_problem,performance_ratio
TRIGON2B[N=100],BasinGraph,0.001,30,30,1.0,1466.0,1466.0,100,medium_21_100,1466.0,1.0
TRIGON2B[N=100],CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,1466.0,inf
TRIGON2B[N=100],Differential Evolution,0.001,30,0,0.0,inf,,100,medium_21_100,1466.0,inf
TRIGON2B[N=100],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,100,medium_21_100,1466.0,inf
TRIGON2B[N=100],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,100,medium_21_100,1466.0,inf
TRIGON2B[N=100],Random Search,0.001,30,0,0.0,inf,,100,medium_21_100,1466.0,inf
WAYSEA1B,BIPOP-CMA-ES,0.001,30,30,1.0,5.6,4.5,2,small_2_20,1.0,5.6
WAYSEA1B,BasinGraph,0.001,30,30,1.0,1.0,1.0,2,small_2_20,1.0,1.0
WAYSEA1B,CMA-ES,0.001,30,30,1.0,2.7333333333333334,2.0,2,small_2_20,1.0,2.7333333333333334
WAYSEA1B,Differential Evolution,0.001,30,30,1.0,5.333333333333333,3.5,2,small_2_20,1.0,5.333333333333333
WAYSEA1B,Latin Hypercube Sampling,0.001,30,30,1.0,6.066666666666666,4.0,2,small_2_20,1.0,6.066666666666666
WAYSEA1B,Multi-start L-BFGS-B,0.001,30,30,1.0,1.0,1.0,2,small_2_20,1.0,1.0
WAYSEA1B,Random Search,0.001,30,30,1.0,1.0,1.0,2,small_2_20,1.0,1.0
WAYSEA2B,BIPOP-CMA-ES,0.001,30,30,1.0,140.43333333333334,140.0,2,small_2_20,25.0,5.617333333333334
WAYSEA2B,BasinGraph,0.001,30,30,1.0,60.0,60.0,2,small_2_20,25.0,2.4
WAYSEA2B,CMA-ES,0.001,30,30,1.0,111.73333333333333,108.0,2,small_2_20,25.0,4.469333333333333
WAYSEA2B,Differential Evolution,0.001,30,30,1.0,317.03333333333336,327.5,2,small_2_20,25.0,12.681333333333335
WAYSEA2B,Latin Hypercube Sampling,0.001,30,0,0.0,inf,,2,small_2_20,25.0,inf
WAYSEA2B,Multi-start L-BFGS-B,0.001,30,30,1.0,25.0,25.0,2,small_2_20,25.0,1.0
WAYSEA2B,Random Search,0.001,30,0,0.0,inf,,2,small_2_20,25.0,inf
