problem_id,function_index,function_group,dimension,instance_index,fbest,final_value_rank,budget,nfe,archive_nodes,archive_capacity,archive_saturated,graph_edges,graph_edges_per_node,mean_node_visits,max_node_visits,mean_node_novelty,mean_edge_accessibility,max_edge_accessibility,positive_improvement_edges,positive_improvement_edge_fraction,use_center_local,use_far_basin,diag_dimension,diag_mean_scale,diag_max_scale,diag_anisotropy,diag_boundary_signal,diag_ruggedness_score,diag_sign_change_rate,diag_finite_anchor_fraction,diag_valid_axis_triplets,phase_initial_design_nfe,phase_initial_design_fraction,phase_center_local_nfe,phase_center_local_fraction,phase_coordinate_sweep_nfe,phase_coordinate_sweep_fraction,phase_far_basin_nfe,phase_far_basin_fraction,phase_archive_fallback_nfe,phase_archive_fallback_fraction,phase_final_polish_nfe,phase_final_polish_fraction,phase_budget_completion_nfe,phase_budget_completion_fraction
bbob_f016_i03_d02,16,Multimodal with global structure (f15-f19),2,3,99.25475691869252,5.0,2000,2000,80,80,True,119,1.4875,2.4375,20.0,0.7200296350615614,0.08468799491707243,0.5,45,0.37815126050420167,True,True,2,10.0,10.0,1.0,0.045272283160436216,0.18461770187756377,1.0,1.0,2,33,0.0165,126.0,0.063,600,0.3,32.0,0.016,200,0.1,100,0.05,909,0.4545
bbob_f017_i01_d02,17,Multimodal with global structure (f15-f19),2,1,-16.19741909580417,7.0,2000,2000,80,80,True,282,3.525,4.85,29.0,0.5660660352688878,0.21026649714997026,0.5,139,0.4929078014184397,True,True,2,10.0,10.0,1.0,-0.32712224659830075,1.0790042379687101,0.5,1.0,2,33,0.0165,30.0,0.015,470,0.235,32.0,0.016,159,0.0795,30,0.015,1246,0.623
bbob_f017_i02_d02,17,Multimodal with global structure (f15-f19),2,2,18.967298246218803,5.0,2000,2000,80,80,True,277,3.4625,5.25,58.0,0.568712604288692,0.19197632882385407,0.5,127,0.4584837545126354,True,True,2,10.0,10.0,1.0,-0.5852129200126656,0.3990678457719971,0.5,1.0,2,33,0.0165,60.0,0.03,482,0.241,32.0,0.016,126,0.063,27,0.0135,1240,0.62
bbob_f017_i03_d02,17,Multimodal with global structure (f15-f19),2,3,273.51291187985925,6.0,2000,2000,80,80,True,419,5.2375,7.95,70.0,0.468556116255303,0.21085976076409385,0.5,183,0.43675417661097854,True,False,2,10.0,10.0,1.0,0.010007290487170835,0.0502501923787076,0.5,1.0,2,33,0.0165,6.0,0.003,472,0.236,,,102,0.051,54,0.027,1333,0.6665
bbob_f018_i01_d02,18,Multimodal with global structure (f15-f19),2,1,-16.41418011021787,2.0,2000,2000,80,80,True,372,4.65,7.0375,67.0,0.5047852110470469,0.13688205006679033,0.5,143,0.3844086021505376,True,True,2,10.0,10.0,1.0,-0.1836319765487648,0.9703573682638176,0.5,1.0,2,33,0.0165,36.0,0.018,424,0.212,32.0,0.016,150,0.075,42,0.021,1283,0.6415
bbob_f018_i02_d02,18,Multimodal with global structure (f15-f19),2,2,19.17291187985927,4.0,2000,2000,80,80,True,194,2.425,3.575,36.0,0.5861826516873245,0.08687145950556066,0.5,74,0.38144329896907214,True,True,2,10.0,10.0,1.0,-0.3855989427655225,0.5475516765845707,0.5,1.0,2,33,0.0165,39.0,0.0195,521,0.2605,32.0,0.016,69,0.0345,63,0.0315,1243,0.6215
bbob_f018_i03_d02,18,Multimodal with global structure (f15-f19),2,3,273.39313580504466,3.0,2000,2000,80,80,True,192,2.4,3.55,29.0,0.6561754492110358,0.12992728722590072,0.5,84,0.4375,True,True,2,10.0,10.0,1.0,0.15385459323118186,0.3006990352261906,0.5,1.0,2,33,0.0165,6.0,0.003,421,0.2105,32.0,0.016,108,0.054,84,0.042,1316,0.658
bbob_f019_i01_d02,19,Multimodal with global structure (f15-f19),2,1,-102.54999999998044,3.0,2000,2000,80,80,True,308,3.85,6.175,51.0,0.5701737154005159,0.17265445778665503,0.5,136,0.44155844155844154,True,True,2,10.0,10.0,1.0,-0.18166315146075054,0.14762580507230724,1.0,1.0,2,33,0.0165,63.0,0.0315,600,0.3,32.0,0.016,159,0.0795,54,0.027,1059,0.5295
bbob_f019_i02_d02,19,Multimodal with global structure (f15-f19),2,2,71.70570765076795,3.5,2000,2000,80,80,True,281,3.5125,5.6125,63.0,0.5344817551708472,0.16197680016098573,0.5,121,0.4306049822064057,True,True,2,10.0,10.0,1.0,-0.594943920962077,0.22099710788644286,1.0,1.0,2,33,0.0165,36.0,0.018,600,0.3,32.0,0.016,102,0.051,81,0.0405,1116,0.558
bbob_f019_i03_d02,19,Multimodal with global structure (f15-f19),2,3,214.0257076507679,4.0,2000,2000,80,80,True,288,3.6,5.6375,63.0,0.5776439285759534,0.16820240737610168,0.5,132,0.4583333333333333,True,False,2,10.0,10.0,1.0,-0.30958929759019876,0.08433185941624988,1.0,1.0,2,33,0.0165,42.0,0.021,600,0.3,,,135,0.0675,75,0.0375,1115,0.5575
bbob_f020_i01_d02,20,Multimodal with weak structure (f20-f24),2,1,-546.4999999999999,3.0,2000,2000,80,80,True,348,4.35,6.3375,59.0,0.5610441107279011,0.15571865315884956,0.5,133,0.382183908045977,True,True,2,10.0,10.0,1.0,-2.6753367574967872,0.9708672230956394,0.5,1.0,2,33,0.0165,54.0,0.027,282,0.141,32.0,0.016,153,0.0765,30,0.015,1416,0.708
bbob_f020_i02_d02,20,Multimodal with weak structure (f20-f24),2,2,1000.0,1.0,2000,2000,80,80,True,409,5.1125,7.9375,54.0,0.5193831151851589,0.18352957993732488,0.5,171,0.4180929095354523,True,True,2,10.0,10.0,1.0,-2.985249087417071,0.9094508945504057,0.5,1.0,2,33,0.0165,54.0,0.027,339,0.1695,32.0,0.016,144,0.072,42,0.021,1356,0.678
