algorithm,evaluations_per_dimension,fraction_problem_seed_pairs_solved,target_residual,problem_seed_pairs
BIPOP-CMA-ES,20.42057622908966,0.048666666666666664,0.001,1500
BIPOP-CMA-ES,20.976963183485264,0.05,0.001,1500
BIPOP-CMA-ES,21.54850967302565,0.052,0.001,1500
BIPOP-CMA-ES,22.13562874029563,0.052,0.001,1500
BIPOP-CMA-ES,22.73874468179881,0.054,0.001,1500
BIPOP-CMA-ES,23.358293354586152,0.056666666666666664,0.001,1500
BIPOP-CMA-ES,23.994722491239184,0.058,0.001,1500
BIPOP-CMA-ES,24.648492023435356,0.06,0.001,1500
BIPOP-CMA-ES,25.32007441432927,0.06,0.001,1500
BIPOP-CMA-ES,26.009954999990217,0.062,0.001,1500
BIPOP-CMA-ES,26.718632340142648,0.064,0.001,1500
BIPOP-CMA-ES,27.446618578462928,0.066,0.001,1500
BIPOP-CMA-ES,28.194439812693084,0.06933333333333333,0.001,1500
BIPOP-CMA-ES,28.962636474838583,0.07,0.001,1500
BIPOP-CMA-ES,29.75176372172531,0.07466666666666667,0.001,1500
BIPOP-CMA-ES,30.562391836197783,0.078,0.001,1500
BIPOP-CMA-ES,31.39510663924843,0.08066666666666666,0.001,1500
BIPOP-CMA-ES,32.250509913376064,0.08266666666666667,0.001,1500
BIPOP-CMA-ES,33.12921983747933,0.08666666666666667,0.001,1500
BIPOP-CMA-ES,34.03187143359931,0.09133333333333334,0.001,1500
BIPOP-CMA-ES,34.95911702583434,0.09533333333333334,0.001,1500
BIPOP-CMA-ES,35.911626711758636,0.10066666666666667,0.001,1500
BIPOP-CMA-ES,36.89008884668525,0.106,0.001,1500
BIPOP-CMA-ES,37.89521054112361,0.108,0.001,1500
BIPOP-CMA-ES,38.927718171790794,0.11266666666666666,0.001,1500
BIPOP-CMA-ES,39.98835790654612,0.118,0.001,1500
BIPOP-CMA-ES,41.07789624362841,0.12733333333333333,0.001,1500
BIPOP-CMA-ES,42.19712056558526,0.13133333333333333,0.001,1500
BIPOP-CMA-ES,43.34683970829508,0.13533333333333333,0.001,1500
BIPOP-CMA-ES,44.52788454549299,0.142,0.001,1500
BIPOP-CMA-ES,45.74110858922264,0.15,0.001,1500
BIPOP-CMA-ES,46.98738860664848,0.15933333333333333,0.001,1500
BIPOP-CMA-ES,48.267625253673856,0.178,0.001,1500
BIPOP-CMA-ES,49.58274372582272,0.188,0.001,1500
BIPOP-CMA-ES,50.93369442685577,0.192,0.001,1500
BIPOP-CMA-ES,52.32145365560394,0.19866666666666666,0.001,1500
BIPOP-CMA-ES,53.74702431151534,0.20466666666666666,0.001,1500
BIPOP-CMA-ES,55.21143661942618,0.21133333333333335,0.001,1500
BIPOP-CMA-ES,56.71574887407878,0.214,0.001,1500
BIPOP-CMA-ES,58.261048204925395,0.218,0.001,1500
BIPOP-CMA-ES,59.848451361769555,0.22066666666666668,0.001,1500
BIPOP-CMA-ES,61.47910552181393,0.22866666666666666,0.001,1500
BIPOP-CMA-ES,63.15418911869697,0.23466666666666666,0.001,1500
BIPOP-CMA-ES,64.87491269411788,0.23933333333333334,0.001,1500
BIPOP-CMA-ES,66.64251977266552,0.246,0.001,1500
BIPOP-CMA-ES,68.45828776048273,0.24866666666666667,0.001,1500
BIPOP-CMA-ES,70.32352886841649,0.256,0.001,1500
BIPOP-CMA-ES,72.23959106032035,0.25733333333333336,0.001,1500
