algorithm,performance_ratio_threshold,fraction_of_problems,target_residual
BIPOP-CMA-ES,15.354695384029435,0.3,0.001
BIPOP-CMA-ES,15.850198571892232,0.3,0.001
BIPOP-CMA-ES,16.361691878936274,0.3,0.001
BIPOP-CMA-ES,16.889691313771966,0.32,0.001
BIPOP-CMA-ES,17.43472953684848,0.32,0.001
BIPOP-CMA-ES,17.997356397816333,0.32,0.001
BIPOP-CMA-ES,18.57813949023095,0.32,0.001
BIPOP-CMA-ES,19.177664724156717,0.32,0.001
BIPOP-CMA-ES,19.796536917249345,0.32,0.001
BIPOP-CMA-ES,20.43538040491262,0.32,0.001
BIPOP-CMA-ES,21.094839670145277,0.32,0.001
BIPOP-CMA-ES,21.77557999371323,0.32,0.001
BIPOP-CMA-ES,22.478288125303315,0.32,0.001
BIPOP-CMA-ES,23.203672976335348,0.32,0.001
BIPOP-CMA-ES,23.952466335131554,0.32,0.001
BIPOP-CMA-ES,24.725423605164963,0.32,0.001
BIPOP-CMA-ES,25.523324567131308,0.32,0.001
BIPOP-CMA-ES,26.346974165613393,0.32,0.001
BIPOP-CMA-ES,27.19720332113144,0.32,0.001
BIPOP-CMA-ES,28.074869768398774,0.32,0.001
BIPOP-CMA-ES,28.980858921628318,0.32,0.001
BIPOP-CMA-ES,29.91608476776299,0.32,0.001
BIPOP-CMA-ES,30.88149078853096,0.32,0.001
BIPOP-CMA-ES,31.87805091225626,0.32,0.001
BIPOP-CMA-ES,32.90677049638456,0.32,0.001
BIPOP-CMA-ES,33.96868734171564,0.32,0.001
BIPOP-CMA-ES,35.0648727393655,0.32,0.001
BIPOP-CMA-ES,36.19643255151459,0.32,0.001
BIPOP-CMA-ES,37.364508327032155,0.32,0.001
BIPOP-CMA-ES,38.57027845310236,0.34,0.001
BIPOP-CMA-ES,39.81495934401382,0.34,0.001
BIPOP-CMA-ES,41.099806668312176,0.34,0.001
BIPOP-CMA-ES,42.42611661555315,0.34,0.001
BIPOP-CMA-ES,43.79522720393455,0.34,0.001
BIPOP-CMA-ES,45.20851963012596,0.34,0.001
BIPOP-CMA-ES,46.66741966265833,0.34,0.001
BIPOP-CMA-ES,48.17339908027866,0.34,0.001
BIPOP-CMA-ES,49.72797715672117,0.34,0.001
BIPOP-CMA-ES,51.33272219339265,0.34,0.001
BIPOP-CMA-ES,52.98925310151845,0.34,0.001
BIPOP-CMA-ES,54.6992410353449,0.34,0.001
BIPOP-CMA-ES,56.46441107804598,0.34,0.001
BIPOP-CMA-ES,58.28654398203492,0.34,0.001
BIPOP-CMA-ES,60.167477965436696,0.34,0.001
BIPOP-CMA-ES,62.10911056653329,0.34,0.001
BIPOP-CMA-ES,64.11340055805275,0.34,0.001
BIPOP-CMA-ES,66.18236992323352,0.34,0.001
BIPOP-CMA-ES,68.31810589565704,0.34,0.001
BIPOP-CMA-ES,70.5227630649068,0.34,0.001
BIPOP-CMA-ES,72.79856555017784,0.36,0.001
BIPOP-CMA-ES,75.14780924402999,0.36,0.001
BIPOP-CMA-ES,77.5728641285477,0.36,0.001
BIPOP-CMA-ES,80.0761766662437,0.36,0.001
BIPOP-CMA-ES,82.66027226811788,0.36,0.001
BIPOP-CMA-ES,85.32775784136216,0.36,0.001
BIPOP-CMA-ES,88.08132441928045,0.36,0.001
BIPOP-CMA-ES,90.92374987607762,0.36,0.001
BIPOP-CMA-ES,93.85790172925577,0.36,0.001
BIPOP-CMA-ES,96.88674003244553,0.36,0.001
BIPOP-CMA-ES,100.01332036158993,0.36,0.001
